date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:04:25	114934/114934	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Jan%202021%2008:33:43%20GMT	https://www.pbsc.com/	www.pbsc.com/index.html	(from )
14:04:25	91/91	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	date:Sat,%2016%20Jan%202021%2008:33:43%20GMT	https://www.pbsc.com/robots.txt		(from )
14:04:26	116518/116518	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Jan%202021%2008:33:44%20GMT	https://www.pbsc.com/fr	www.pbsc.com/fr.html	(from https://www.pbsc.com/)
14:04:26	115995/115995	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Jan%202021%2008:33:45%20GMT	https://www.pbsc.com/es	www.pbsc.com/es.html	(from https://www.pbsc.com/)
14:04:27	12000/12000	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Jan%202021%2008:33:46%20GMT	https://www.pbsc.com/admin/elfinder-connector%3Fobj_type=app/model/site&obj_id=1&property=metaImage&cmd=file&target=fls1_dXBsb2Fkcy9wYnNjLnBuZw	www.pbsc.com/admin/elfinder-connector_obj_type=app/model/site&obj_id=1&property=metaImage&cmd=file&target=fls1_dXBsb2Fkcy9wYnNjLnBuZw	(from https://www.pbsc.com/)
14:04:28	470/470	---M--	200	added ('OK')	text/html	etag:%221d6-5a7d01334f998%22	https://www.pbsc.com/site.webmanifest	www.pbsc.com/site.html	(from https://www.pbsc.com/)
14:04:29	7829/7829	---M--	200	added ('OK')	image/png	etag:%221e95-5a7d01333dc6c%22	https://www.pbsc.com/assets/images/favicons/apple-touch-icon.png	www.pbsc.com/assets/images/favicons/apple-touch-icon.png	(from https://www.pbsc.com/)
14:04:30	4146/4146	---M--	200	added ('OK')	image/png	etag:%221032-5a7d01333dc6c%22	https://www.pbsc.com/assets/images/favicons/favicon-32x32.png	www.pbsc.com/assets/images/favicons/favicon-32x32.png	(from https://www.pbsc.com/)
14:04:31	3644/3644	---M--	200	added ('OK')	image/png	etag:%22e3c-5a7d01333dc6c%22	https://www.pbsc.com/assets/images/favicons/favicon-16x16.png	www.pbsc.com/assets/images/favicons/favicon-16x16.png	(from https://www.pbsc.com/)
14:04:32	48918/48918	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Jan%202021%2008:33:51%20GMT	https://www.pbsc.com/assets/images/favicons/safari-pinned-tab.svg	www.pbsc.com/assets/images/favicons/safari-pinned-tab.svg	(from https://www.pbsc.com/)
14:04:33	124076/124076	---M-Z	200	added ('OK')	text/css	etag:%221e4ac-5b6fb7a0e7f01-gzip%22	https://www.pbsc.com/assets/styles/main.css?v=2318545804	www.pbsc.com/assets/styles/main1c74.css	(from https://www.pbsc.com/)
14:04:34	85345/85345	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Jan%202021%2008:33:53%20GMT	https://www.pbsc.com/terms-of-service	www.pbsc.com/terms-of-service.html	(from https://www.pbsc.com/)
14:04:35	100325/100325	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Jan%202021%2008:33:54%20GMT	https://www.pbsc.com/blog/2020/12/pbsc-launches-its-second-bikeshare-system-in-spain-with-437-bikes-and-ebikes-across-46-smart-stations-in-san-sebastian	www.pbsc.com/blog/2020/12/pbsc-launches-its-second-bikeshare-system-in-spain-with-437-bikes-and-ebikes-across-46-smart-stations-in-san-sebastian.html	(from https://www.pbsc.com/)
14:04:36	47152/47152	---M-Z	200	added ('OK')	image/svg+xml	etag:%22b830-5b6fb7a0e7b19-gzip%22	https://www.pbsc.com/assets/images/sprite.svg	www.pbsc.com/assets/images/sprite.svg	(from https://www.pbsc.com/)
14:04:37	140835/140835	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Jan%202021%2008:33:56%20GMT	https://www.pbsc.com/cities	www.pbsc.com/cities.html	(from https://www.pbsc.com/)
14:04:38	117851/117851	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Jan%202021%2008:33:57%20GMT	https://www.pbsc.com/bikes-smart-stations	www.pbsc.com/bikes-smart-stations.html	(from https://www.pbsc.com/)
